-- RU-EN vocabulary file for the WORD SHOT game http://undrev.com/wordshot/
-- Contributors/credits: Undrev, ...
--
-- Some statistics (word's length : count; total words)
-- 3 :  62
-- 4 :  171
-- 5 :  225
-- 6 :  196
-- 7 :  211
-- 8 :  180
-- 9 :  129
-- 10 :  115
-- 11 :  89
-- 12 :  81
-- 13 :  49
-- TOTAL:  1508
стог = mow
стоимость = cost, worth
стол = table
столица = capital
сторона = side
страж = guardian
страна = country
странность = oddity, peculiarity
странствие = peregrination
стратосфера = stratosphere
страх = fear
страхование = insurance
стремянка = ladder
строительство = construction
струна = string
стручок = pod
струя = jet
стук = knock
стыд = shame
субординация = subordination
судья = judge
суеверие = superstition
суждение = judgement
сумка = bag
сумочка = handbag
супермаркет = supermarket
схватка = grapple
схема = scheme
сцена = scene
счастье = happiness
счёт = bill, account
счётчик = counter

тайна = mystery
талисман = mascot
танец = dance
тарелка = plate
телевидение = television
телескоп = telescope
телефон = phone, telephone
тело = body
тема = subject
темнота = darkness
температура = temperature
тень = shadow
тест = test
тесто = dough
тип = type
толпа = crowd
тон = tone
топор = axe
торговля = trade
точка = dot, point
точность = accuracy
традиция = tradition
трактир = pub
транскрипция = transcription
транспорт = vehicle
требование = requirement
трепет = trepidation
треска = cod
тригонометрия = trigonometry
тропинка = track, path
труба = pipe
трудность = difficulty
тряпка = rag
туман = fog
тупик = deadlock
тысячелетие = millennium
тётя = aunt

убеждение = belief, conviction
убежище = shelter
уважение = respect, regard
уверенность = confidence
угол = corner
угроза = menace
удар = hit, strike
удача = luck
удивление = surprise, astonishment
удовольствие = pleasure
узел = hub
узнаваемость = recognition
укол = jab
украшение = decoration
укрепление = reinforcement
укус = bite
улица = street
улучшение = improvement
улыбка = smile
ультиматум = ultimatum
ультрамарин = ultramarine
ультрафиолет = ultraviolet
умиротворение = pacification
умысел = premeditation
университет = university
униформа = uniform
уныние = melancholy
употребление = usage
управление = management
упражнение = exercise
упрямство = pertinacity
упрёк = objurgation
уравнение = equation
ураган = hurricane
урбанизация = urbanization
уровень = level
урок = lesson
усвоение = assimilation
усиление = amplification
усилие = effort
ускорение = acceleration
условие = condition
успех = success
установка = installation
устрица = oyster
усы = moustache
утверждение = statement, proposition
утро = morning
ухо = ear
участник = member, participant
ученик = pupil
учреждение = institution, establishment
ущерб = waste
уязвимость = vulnerability

фабрика = factory
файл = file
факт = fact
фармакология = pharmacology
фасоль = bean
федерация = federation
ферментация = fermentation
фестиваль = festival
фея = fay
фигура = figure
филантропия = philanthropy
филиал = branch
филолог = philologist
фильм = film
фисташка = pistachio
флагман = flagship
фламинго = flamingo
флюгер = weathercock
фойе = lounge
фон = background
фонтан = fountain
форма = form, shape
фортификация = fortification
фотография = photography
фрагмент = fragment
фрагментация = fragmentation
фундамент = foundation
фургон = wagon

характер = character, mettle
хижина = hut
хитрость = trick
хлеб = bread
ход = move
хозяин = master
хозяйка = hostess
холодильник = refrigerator
холостяк = bachelor
хомяк = hamster
хранитель = keeper

цвет = color
цветение = efflorescence
цветоводство = floriculture
целостность = integrity
цель = aim, objective
цена = price
ценность = value
центр = center
церковь = church
цивилизация = civilization
цитата = quote
цифра = digit

чайник = kettle
час = hour
часть = part
чаша = bowl
чашка = cup
чек = cheque
человек = human
человечество = humanity
челюсть = jaw
чемпион = champion
черника = bilberry
чернила = ink
черновик = draft
честность = honesty
честолюбие = ambition
четверть = quarter
чин = rank
число = number
чувство = sense
чудо = marvel

шаблон = pattern
шаг = step, footstep
шанс = chance
шар = ball
шарнир = knuckle
шахта = mine
швабра = mop
шедевр = masterpiece
шеф = chief
шефство = patronage
шея = neck
шишка = nob
шкала = scale
школа = school
шляпа = hat
шок = shock
шоссе = highway
шоу = show
штамп = stamp
шторм = storm
штрейкбрехер = strikebreaker
штурман = navigator
шум = noise, uproar
шутка = joke

щедрость = munificence
щека = cheek
щенок = pup
щипок = nip
щипцы = nipper
щётка = brush

эвакуация = evacuation
экзамен = exam
экскурсия = tour
эксперимент = experiment
эксплуатация = maintenance
элегантность = elegance
эльф = elf
эмоция = emotion
